Марка,Модель,Годы выпуска,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Renault,4,1961–1992,1.1 L,Бензин,45,
Renault,5,1972–1996,1.4 L,Бензин,75,
Renault,9/11,1981–1989,1.7 L,Бензин,110,
Renault,19,1988–1996,2.0 L,Бензин,140,
Renault,Clio I,1990–1998,1.8 L,Бензин,110,
Renault,Clio II,1998–2005,2.0 L,Бензин,147,
Renault,Clio III,2005–2012,2.0 L,Бензин,133,
Renault,Clio IV,2012–2019,1.2 L,Бензин,120,
Renault,Clio V,2019–н.в.,1.0 L,Бензин,100,
Renault,Clio V E-Tech Hybrid,2020–н.в.,1.6 L,Гибрид,145,1.2
Renault,Megane I,1996–2002,2.0 L,Бензин,150,
Renault,Megane II,2002–2008,2.0 L,Бензин,140,
Renault,Megane III,2008–2016,2.0 L,Бензин,140,
Renault,Megane IV,2016–2022,1.3 L,Бензин,140,
Renault,Megane E-Tech Electric,2022–н.в.,0.0 L,Электро,220,60
Renault,Scenic I,1996–2003,2.0 L,Бензин,140,
Renault,Scenic II,2003–2009,2.0 L,Бензин,140,
Renault,Scenic III,2009–2016,1.6 L,Бензин,130,
Renault,Scenic IV,2016–2022,1.6 L,Бензин,130,
Renault,Scenic E-Tech,2024–н.в.,0.0 L,Электро,220,87
Renault,Laguna I,1994–2000,3.0 L,Бензин,165,
Renault,Laguna II,2000–2007,3.0 L,Бензин,210,
Renault,Laguna III,2007–2015,3.0 L,Бензин,240,
Renault,Talisman,2015–2022,1.6 L,Бензин,220,
Renault,Espace I,1984–1991,2.2 L,Бензин,110,
Renault,Espace V,2015–2023,1.8 L,Бензин,225,
Renault,Espace VI,2023–н.в.,1.2 L,Гибрид,200,1.9
Renault,21,1986–1995,2.0 L,Бензин,140,
Renault,25,1983–1992,2.8 L,Бензин,158,
Renault,Safrane,1992–2000,3.0 L,Бензин,165,
Renault,Avantime,2001–2003,3.0 L,Бензин,210,
