Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Abarth,595,1963–1971,,0.6 L,Бензин,32,
Abarth,695,1963–1971,,0.7 L,Бензин,43,
Abarth,1000 TC,1965–1971,,1.0 L,Бензин,85,
Abarth,1300 OTS,1968–1971,,1.3 L,Бензин,125,
Abarth,2000 Spider,1968–1971,,2.0 L,Бензин,165,
Abarth,500 (Fiat-based),2008–н.в.,,1.4 L,Бензин,165,
Abarth,595 (modern),2012–н.в.,,1.4 L,Бензин,180,
Abarth,695 (modern),2015–н.в.,,1.4 L,Бензин,180,
AC Cars,AC Ace,1953–1963,,2.6 L,Бензин,100,
AC Cars,AC Cobra MkI,1962–1965,,4.7 L,Бензин,260,
AC Cars,AC Cobra MkII,1965–1967,,4.7 L,Бензин,300,
AC Cars,AC Cobra MkIII,1967–1969,,7.0 L,Бензин,427,
AC Cars,AC 3000ME,1979–1984,,3.0 L,Бензин,138,
Alfa Romeo,Alfetta,1972–1984,116,2.5 L,Бензин,160,
Alfa Romeo,75,1985–1992,162,3.0 L,Бензин,185,
Alfa Romeo,145/146,1994–2001,930,2.0 L,Бензин,150,
Alfa Romeo,147,2000–2010,935,2.0 L,Бензин,150,
Alfa Romeo,155,1992–1998,167,2.5 L,Бензин,190,
Alfa Romeo,156,1997–2005,932,3.2 L,Бензин,250,
Alfa Romeo,159,2005–2011,939,2.2 L,Бензин,185,
Alfa Romeo,164,1987–1998,164,3.0 L,Бензин,200,
Alfa Romeo,166,1998–2007,936,3.2 L,Бензин,226,
Alfa Romeo,8C Competizione,2007–2010,960,4.7 L,Бензин,450,
Alfa Romeo,Brera,2005–2010,939,3.2 L,Бензин,260,
Alfa Romeo,GTV/Spider,1995–2006,916,3.2 L,Бензин,240,
Alfa Romeo,MiTo,2008–2018,955,1.4 L,Бензин,120,
Alfa Romeo,4C,2013–2020,960,1.7 L,Бензин,240,
Alfa Romeo,Giulia (952),2016–н.в.,952,2.9 L,Бензин,510,
Alfa Romeo,Stelvio,2017–н.в.,949,2.9 L,Бензин,510,
Alfa Romeo,Tonale,2022–н.в.,963,1.3 L,Бензин,150,
Alfa Romeo,Tonale,2022–н.в.,963,1.3 L,Гибрид,275,15.5
Alpine,A110 (Classic),1961–1977,,1.6 L,Бензин,140,
Alpine,A310,1971–1984,,2.7 L,Бензин,150,
Alpine,A610,1991–1995,,3.0 L,Бензин,250,
Alpine,A110 (Modern),2017–н.в.,,1.8 L,Бензин,252,
Alpine,A110 E-ternité,2024–н.в.,,0.0 L,Электро,380,61
Ariel,Atom,2000–н.в.,,2.0 L,Бензин,350,
Artega,GT,2009–2012,,3.6 L,Бензин,300,
Artega,Scalo,2015–2019,,0.0 L,Электро,574,30.6
Artega,Scalo Superelletra,2019–2021,,0.0 L,Электро,680,45
