Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Acura,Integra (DA),1986–1989,DA,1.6 L,Бензин,118,
Acura,Integra (DC),1990–1993,DA5–DA9,1.8 L,Бензин,140,
Acura,Integra Type R (DC2),1995–2001,DC2,1.8 L,Бензин,190,
Acura,NSX (NA1),1990–2005,NA1,3.0 L,Бензин,274,
Acura,NSX (NC1),2016–2022,NC1,3.5 L,Гибрид,573,1.3
Acura,TL,1996–2014,UA/UC,3.2 L,Бензин,225,
Acura,RL,1996–2012,KA/KB,3.5 L,Бензин,300,
Acura,MDX,2001–н.в.,YA/YB,3.5 L,Бензин,290,
Acura,RDX,2007–н.в.,TB/TC,2.0 L,Бензин,272,
Acura,ILX,2013–2022,DE,2.4 L,Бензин,201,
Acura,TLX,2015–н.в.,UB/UC,2.0 L,Бензин,272,
Acura,ZDX,2024–н.в.,,0.0 L,Электро,500,102
Daihatsu,Cuore (L200),1980–1985,L200,0.6 L,Бензин,35,
Daihatsu,Charade (G100),1977–1983,G100,1.0 L,Бензин,55,
Daihatsu,Charade (G102),1983–1987,G102,1.3 L,Бензин,85,
Daihatsu,Move,1995–н.в.,L500/L700,0.7 L,Бензин,54,
Daihatsu,Copen,2002–2012,L300,0.7 L,Бензин,64,
Daihatsu,Copen (L310),2014–н.в.,L310,0.7 L,Бензин,64,
Daihatsu,Terios,1997–н.в.,J100/J200,1.5 L,Бензин,102,
Daihatsu,Sirion,1998–2011,M100/M300,1.3 L,Бензин,90,
Daihatsu,Gran Max,2007–н.в.,S200,1.5 L,Бензин,102,
Daihatsu,Atrai,1990–н.в.,S100/S200,0.7 L,Бензин,54,
Daihatsu,Pyzar,1996–2002,M200,1.5 L,Бензин,100,
Daihatsu,YRV,2000–2005,M300,1.3 L,Бензин,90,
Daihatsu,Boon,2004–н.в.,M600/M800,1.0 L,Бензин,69,
Daihatsu,Delta,1970–2001,S50/S60,1.6 L,Бензин,90,
Daihatsu,Applause,1989–2000,A100/A200,1.6 L,Бензин,100,
Daihatsu,Extol,1995–2005,S100,1.6 L,Бензин,100,
Daihatsu,Esse,2005–2011,L500,0.7 L,Бензин,54,
Daihatsu,Mira,1980–н.в.,L50/L700,0.7 L,Бензин,54,
Daihatsu,Opti,1992–2002,L400/L500,0.7 L,Бензин,54,
Honda,S500,1963–1964,,0.5 L,Бензин,48,
Honda,S600,1964–1966,,0.6 L,Бензин,57,
Honda,S800,1966–1970,,0.8 L,Бензин,70,
Honda,N360,1967–1972,,0.4 L,Бензин,36,
Honda,1300,1969–1972,,1.3 L,Бензин,100,
Honda,Civic I,1972–1979,E,1.2 L,Бензин,52,
Honda,Civic II,1979–1983,AD/AF,1.3 L,Бензин,60,
Honda,Civic III,1983–1987,AE/AF,1.5 L,Бензин,91,
Honda,Civic IV,1987–1991,EF,1.6 L,Бензин,110,
Honda,Civic V,1991–1995,EG/EH/EJ,1.6 L,Бензин,125,
Honda,Civic VI,1995–2000,EK,1.6 L,Бензин,125,
Honda,Civic VII,2000–2005,EP/ES,1.7 L,Бензин,125,
Honda,Civic VIII,2005–2011,FA/FD,1.8 L,Бензин,140,
Honda,Civic IX,2011–2016,FB/FG,1.8 L,Бензин,140,
Honda,Civic X,2016–2021,FC/FK,1.5 L,Бензин,182,
Honda,Civic XI,2021–н.в.,FL/FN,2.0 L,Бензин,158,
Honda,Civic Type R (EK9),1997–2000,EK9,1.6 L,Бензин,185,
Honda,Civic Type R (EP3),2001–2006,EP3,2.0 L,Бензин,215,
Honda,Civic Type R (FN2),2007–2010,FN2,2.0 L,Бензин,200,
Honda,Civic Type R (FK2),2015–2017,FK2,2.0 L,Бензин,310,
Honda,Civic Type R (FK8),2017–2021,FK8,2.0 L,Бензин,320,
Honda,Civic Type R (FL5),2022–н.в.,FL5,2.0 L,Бензин,330,
Honda,Accord I,1976–1981,SM/SS,1.6 L,Бензин,72,
Honda,Accord II,1981–1985,CA/CB,1.8 L,Бензин,90,
Honda,Accord III,1985–1989,CA/CE,2.0 L,Бензин,120,
Honda,Accord IV,1989–1993,CD/CE,2.2 L,Бензин,145,
Honda,Accord V,1993–1997,CD/CE,2.2 L,Бензин,145,
Honda,Accord VI,1997–2002,CL/CM,2.3 L,Бензин,150,
Honda,Accord VII,2002–2008,CL/CM,2.4 L,Бензин,160,
Honda,Accord VIII,2008–2015,CS/CT,2.4 L,Бензин,180,
Honda,Accord IX,2013–2017,CR,2.4 L,Бензин,185,
Honda,Accord X,2018–н.в.,CP,2.0 L,Гибрид,215,1.3
Honda,CR-X,1983–1991,ED/EE,1.6 L,Бензин,125,
Honda,CR-X del Sol,1992–1998,EG,1.6 L,Бензин,125,
Honda,CR-V I,1995–2001,RD1/RD3,2.0 L,Бензин,128,
Honda,CR-V II,2001–2006,RD5/RD7,2.0 L,Бензин,150,
Honda,CR-V III,2006–2011,RE1/RE3,2.0 L,Бензин,150,
Honda,CR-V IV,2012–2016,RM1/RM3,2.4 L,Бензин,185,
Honda,CR-V V,2017–2022,RV1/RV3,1.5 L,Бензин,193,
Honda,CR-V VI,2022–н.в.,RT,2.0 L,Гибрид,204,1.3
Honda,HR-V I,1998–2006,GH1/GH2,1.6 L,Бензин,105,
Honda,HR-V II,2014–2021,RU/RV,1.8 L,Бензин,141,
Honda,HR-V III,2021–н.в.,RS,1.5 L,Гибрид,131,1.3
Honda,NSX (NA1),1990–2005,NA1,3.0 L,Бензин,274,
Honda,NSX (NC1),2016–2022,NC1,3.5 L,Гибрид,573,1.3
Honda,Prelude I,1978–1982,AA,1.6 L,Бензин,90,
Honda,Prelude II,1982–1987,BA/BB,1.8 L,Бензин,110,
Honda,Prelude III,1987–1991,BA4/BB4,2.0 L,Бензин,140,
Honda,Prelude IV,1991–1996,BB1/BB4,2.3 L,Бензин,160,
Honda,Prelude V,1996–2001,BB6/BB8,2.2 L,Бензин,200,
Honda,S2000,1999–2009,AP1/AP2,2.0 L,Бензин,240,
Honda,S2000 (AP2),2004–2009,AP2,2.2 L,Бензин,240,
Honda,Fit/Jazz I,2001–2007,GD/GH,1.3 L,Бензин,86,
Honda,Fit/Jazz II,2007–2014,GE/GF,1.5 L,Бензин,120,
Honda,Fit/Jazz III,2014–2020,GK/GL,1.5 L,Бензин,132,
Honda,Fit/Jazz IV,2020–н.в.,GR/GS,1.5 L,Гибрид,131,1.3
Honda,Insight I,1999–2006,ZE1,1.0 L,Гибрид,73,0.8
Honda,Insight II,2009–2014,ZE2,1.3 L,Гибрид,98,0.9
Honda,Insight III,2018–2022,ZE3,1.5 L,Гибрид,153,1.3
Honda,Clarity,2016–2021,TC,1.5 L,Гибрид,212,17
Honda,e,2020–2023,,0.0 L,Электро,136,35.5
Honda,e:Ny1,2022–н.в.,,0.0 L,Электро,150,45
Honda,e:NS1,2022–н.в.,,0.0 L,Электро,150,68.8
Honda,Odyssey I,1994–1999,RA1/RA2,2.2 L,Бензин,150,
Honda,Odyssey II,1999–2003,RA6/RA8,2.3 L,Бензин,160,
Honda,Odyssey III,2003–2008,RA9/RB1,2.4 L,Бензин,160,
Honda,Odyssey IV,2008–2013,RB3/RB4,2.4 L,Бензин,175,
Honda,Odyssey V,2013–2021,RL5/RL6,3.5 L,Бензин,280,
Honda,Pilot I,2003–2008,BK1/BK2,3.5 L,Бензин,255,
Honda,Pilot II,2009–2015,BK3/BK4,3.5 L,Бензин,250,
Honda,Pilot III,2016–2022,BK5/BK6,3.5 L,Бензин,280,
Honda,Pilot IV,2023–н.в.,BK7,3.5 L,Бензин,285,
Honda,Ridgeline I,2006–2014,YK1/YK2,3.5 L,Бензин,250,
Honda,Ridgeline II,2017–н.в.,YK3/YK4,3.5 L,Бензин,280,
Honda,Stepwgn I,1996–2001,RF1/RF2,2.0 L,Бензин,135,
Honda,Stepwgn II,2001–2005,RF3–RF8,2.0 L,Бензин,140,
Honda,Stepwgn III,2005–2009,RG1–RG4,2.0 L,Бензин,155,
Honda,Stepwgn IV,2009–2015,RK1–RK7,2.0 L,Бензин,150,
Honda,Stepwgn V,2015–2022,RP1–RP5,2.0 L,Бензин,150,
Honda,Stepwgn VI,2022–н.в.,RP6–RP8,2.0 L,Гибрид,184,1.3
Honda,Acty,1977–н.в.,HA/HA2,0.7 L,Бензин,54,
Honda,That's,2002–2007,JB1/JB2,0.7 L,Бензин,54,
Honda,Life,1971–н.в.,JB/JC,0.7 L,Бензин,54,
Honda,Z,1998–2002,PA1,0.7 L,Бензин,64,
Infiniti,G35,2002–2007,V35,3.5 L,Бензин,280,
Infiniti,G37,2007–2013,V37,3.7 L,Бензин,330,
Infiniti,Q50,2014–н.в.,V37,3.0 L,Бензин,400,
Infiniti,Q60,2014–н.в.,V37,3.0 L,Бензин,400,
Infiniti,Q70,2014–2019,V50,3.7 L,Бензин,330,
Infiniti,QX50,2007–н.в.,J50/J55,2.0 L,Бензин,268,
Infiniti,QX60,2013–н.в.,L50/L51,3.5 L,Бензин,295,
Infiniti,QX70,2008–2017,S51,3.7 L,Бензин,325,
Infiniti,QX80,2010–н.в.,KN51,5.6 L,Бензин,400,
Infiniti,M35/M45,2005–2010,Y50,3.5 L,Бензин,280,
Infiniti,FX35/FX50,2002–2013,S50/S51,3.5 L,Бензин,290,
Infiniti,EX35/EX37,2007–2013,S51,3.5 L,Бензин,290,
Infiniti,QX4,1997–2003,R50,3.3 L,Бензин,240,
Infiniti,QX56,2004–2013,TA60,5.6 L,Бензин,320,
Infiniti,Q30,2015–2019,W11,2.0 L,Бензин,211,
Infiniti,QX30,2016–2019,W11,2.0 L,Бензин,211,
Infiniti,QX55,2021–н.в.,J55,2.0 L,Бензин,268,
Isuzu,Bellett,1963–1973,,1.6 L,Бензин,90,
Isuzu,117 Coupe,1968–1981,,1.6 L,Бензин,100,
Isuzu,Piazza,1980–1993,,2.0 L,Бензин,160,
Isuzu,Gemini,1974–2000,,1.6 L,Бензин,100,
Isuzu,Aska,1983–1993,,2.0 L,Бензин,120,
Isuzu,Rodeo,1989–2004,,3.2 L,Бензин,200,
Isuzu,Trooper,1981–2002,,3.2 L,Бензин,200,
Isuzu,D-Max,2002–н.в.,,3.0 L,Дизель,177,
Isuzu,MU-X,2013–н.в.,,3.0 L,Дизель,177,
Isuzu,Erga,1990–н.в.,,8.0 L,Дизель,280,
Lexus,ES 250,1989–1991,V20,2.5 L,Бензин,156,
Lexus,ES 300,1991–2001,V30/XV10/XV20,3.0 L,Бензин,200,
Lexus,ES 330,2001–2006,XV30,3.3 L,Бензин,225,
Lexus,ES 350,2006–2018,XV40/XV60,3.5 L,Бензин,272,
Lexus,ES 300h,2012–н.в.,XV60/XV70,2.5 L,Гибрид,215,1.3
Lexus,GS 300,1993–2005,S140/S160,3.0 L,Бензин,220,
Lexus,GS 450h,2005–2020,S190/L10,3.5 L,Гибрид,340,1.3
Lexus,GS F,2015–2020,L10,5.0 L,Бензин,477,
Lexus,IS 200,1999–2005,XE10,2.0 L,Бензин,156,
Lexus,IS 300,2000–2005,XE10/XE20,3.0 L,Бензин,215,
Lexus,IS 350,2005–н.в.,XE20/XE30,3.5 L,Бензин,311,
Lexus,IS 500,2021–н.в.,XE30,5.0 L,Бензин,472,
Lexus,IS F,2007–2014,XE20,5.0 L,Бензин,416,
Lexus,LS 400,1989–2000,UCF10/UCF20,4.0 L,Бензин,250,
Lexus,LS 430,2000–2006,UCF30,4.3 L,Бензин,290,
Lexus,LS 460,2006–2017,USF40/USF41,4.6 L,Бензин,380,
Lexus,LS 500,2017–н.в.,XF50,3.5 L,Бензин,421,
Lexus,LS 500h,2017–н.в.,XF50,3.5 L,Гибрид,354,1.1
Lexus,LC 500,2017–н.в.,Z100,5.0 L,Бензин,477,
Lexus,LC 500h,2017–н.в.,Z100,3.5 L,Гибрид,354,1.1
Lexus,LFA,2010–2012,,4.8 L,Бензин,563,
Lexus,NX 200t,2014–2021,AZ10,2.0 L,Бензин,235,
Lexus,NX 300h,2014–2021,AZ10,2.5 L,Гибрид,194,1.3
Lexus,NX 350h,2021–н.в.,AZ20,2.5 L,Гибрид,241,1.9
Lexus,NX 450h+,2021–н.в.,AZ20,2.5 L,Гибрид,302,18.1
Lexus,RX 300,1998–2003,MCU10,3.0 L,Бензин,220,
Lexus,RX 330,2003–2006,MCU30,3.3 L,Бензин,230,
Lexus,RX 350,2006–2015,AL10/AL20,3.5 L,Бензин,275,
Lexus,RX 400h,2005–2008,AL20,3.3 L,Гибрид,270,1.3
Lexus,RX 450h,2009–2022,AL10/AL20,3.5 L,Гибрид,295,1.3
Lexus,RX 500h,2022–н.в.,AL20,2.4 L,Гибрид,366,1.9
Lexus,RZ 450e,2022–н.в.,,0.0 L,Электро,313,71.4
Lexus,UX 200,2018–н.в.,ZA10,2.0 L,Бензин,170,
Lexus,UX 250h,2018–н.в.,ZA10,2.0 L,Гибрид,181,1.3
Lexus,UX 300e,2020–н.в.,ZA10,0.0 L,Электро,201,54.3
Mazda,R360,1960–1966,,0.4 L,Бензин,16,
Mazda,Carol,1962–1970,,0.4 L,Бензин,20,
Mazda,Familia/323 I,1963–1977,,1.0 L,Бензин,50,
Mazda,Familia/323 II,1977–1985,,1.3 L,Бензин,75,
Mazda,Familia/323 III,1985–1994,BF,1.5 L,Бензин,90,
Mazda,Familia/323 IV,1994–1998,BH,1.8 L,Бензин,125,
Mazda,Protegé,1990–2003,BJ,1.8 L,Бензин,130,
Mazda,3 I,2003–2009,BK,2.0 L,Бензин,150,
Mazda,3 II,2009–2013,BL,2.0 L,Бензин,150,
Mazda,3 III,2013–2019,BM/BN,2.0 L,Бензин,165,
Mazda,3 IV,2019–н.в.,BP,2.5 L,Бензин,194,
Mazda,6 I,2002–2007,GY,2.3 L,Бензин,164,
Mazda,6 II,2007–2012,GJ,2.5 L,Бензин,170,
Mazda,6 III,2012–2021,GJ/GL,2.5 L,Бензин,194,
Mazda,Capella/626 I,1970–1978,,1.6 L,Бензин,85,
Mazda,Capella/626 II,1978–1982,,2.0 L,Бензин,100,
Mazda,Capella/626 III,1982–1987,GC,2.0 L,Бензин,115,
Mazda,Capella/626 IV,1987–1992,GE,2.2 L,Бензин,145,
Mazda,Capella/626 V,1992–1997,GF,2.5 L,Бензин,164,
Mazda,RX-7 (SA22C),1978–1985,SA22C,1.1 L,Роторный,105,
Mazda,RX-7 (FC),1985–1991,FC3S,1.3 L,Роторный,160,
Mazda,RX-7 (FD),1991–2002,FD3S,1.3 L,Роторный,255,
Mazda,RX-8,2003–2012,SE3P,1.3 L,Роторный,231,
Mazda,Miata/MX-5 (NA),1989–1997,NA,1.6 L,Бензин,116,
Mazda,Miata/MX-5 (NB),1998–2005,NB,1.8 L,Бензин,140,
Mazda,Miata/MX-5 (NC),2005–2015,NC,2.0 L,Бензин,170,
Mazda,Miata/MX-5 (ND),2015–н.в.,ND,2.0 L,Бензин,184,
Mazda,MPV I,1988–1999,LW,2.6 L,Бензин,122,
Mazda,MPV II,1999–2006,LW,3.0 L,Бензин,200,
Mazda,MPV III,2006–2016,LY,3.5 L,Бензин,263,
Mazda,Premacy/Mazda5 I,1999–2005,CP,1.8 L,Бензин,115,
