Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Hyundai,Excel,1986–2000,X/X2,1.5 L,Бензин,72,
Hyundai,Elantra I,1990–1995,J1,1.6 L,Бензин,105,
Hyundai,Elantra II,1995–2000,RD/J2,1.8 L,Бензин,128,
Hyundai,Elantra III,2000–2006,XD,2.0 L,Бензин,140,
Hyundai,Elantra IV,2006–2010,HD,2.0 L,Бензин,148,
Hyundai,Elantra V,2010–2015,MD,1.8 L,Бензин,148,
Hyundai,Elantra VI,2015–2020,AD,2.0 L,Бензин,147,
Hyundai,Elantra VII,2020–н.в.,CN7,2.0 L,Бензин,147,
Hyundai,Sonata I,1985–1988,Y1,1.6 L,Бензин,84,
Hyundai,Sonata II,1988–1993,Y2,2.0 L,Бензин,122,
Hyundai,Sonata III,1993–1998,Y3,2.0 L,Бензин,138,
Hyundai,Sonata IV,1998–2004,Y4,2.7 L,Бензин,170,
Hyundai,Sonata V,2004–2009,NF,3.3 L,Бензин,235,
Hyundai,Sonata VI,2009–2014,YF,2.4 L,Бензин,190,
Hyundai,Sonata VII,2014–2019,LN/LF,2.5 L,Бензин,191,
Hyundai,Sonata VIII,2019–н.в.,DN8,2.5 L,Бензин,191,
Hyundai,Sonata Hybrid,2011–н.в.,YF/LF/DN8,2.0 L,Гибрид,192,1.6
Hyundai,Tucson I,2004–2009,JM,2.7 L,Бензин,173,
Hyundai,Tucson II,2009–2015,LM,2.4 L,Бензин,176,
Hyundai,Tucson III,2015–2020,TL,2.0 L,Бензин,164,
Hyundai,Tucson IV,2020–н.в.,NX4,1.6 L,Бензин,187,
Hyundai,Tucson Hybrid,2021–н.в.,NX4,1.6 L,Гибрид,230,1.5
Hyundai,Santa Fe I,2000–2006,SM,3.5 L,Бензин,242,
Hyundai,Santa Fe II,2006–2012,CM,3.5 L,Бензин,276,
Hyundai,Santa Fe III,2012–2018,DM,3.3 L,Бензин,290,
Hyundai,Santa Fe IV,2018–н.в.,TM,2.5 L,Бензин,191,
Hyundai,Santa Fe Hybrid,2021–н.в.,TM,1.6 L,Гибрид,226,1.5
Hyundai,Palisade,2019–н.в.,,3.8 L,Бензин,291,
Hyundai,Kona,2017–н.в.,OS,2.0 L,Бензин,147,
Hyundai,Kona Electric,2018–н.в.,OS,0.0 L,Электро,201,64
Hyundai,Ioniq 5,2021–н.в.,,0.0 L,Электро,320,77.4
Hyundai,Ioniq 6,2022–н.в.,,0.0 L,Электро,320,77.4
Hyundai,Ioniq 9,2024–н.в.,,0.0 L,Электро,300,100
Hyundai,Venue,2019–н.в.,,1.6 L,Бензин,121,
Hyundai,Creta,2015–н.в.,,1.6 L,Бензин,123,
Hyundai,Accent I,1994–1999,X3,1.5 L,Бензин,92,
Hyundai,Accent II,1999–2005,LC,1.6 L,Бензин,105,
Hyundai,Accent III,2005–2011,MC,1.6 L,Бензин,110,
Hyundai,Accent IV,2011–2017,RB,1.6 L,Бензин,138,
Hyundai,Accent V,2017–2022,HC,1.6 L,Бензин,120,
Hyundai,Grandeur I,1986–1992,L,3.0 L,Бензин,147,
Hyundai,Grandeur II,1992–1998,L,3.5 L,Бензин,225,
Hyundai,Grandeur III,1998–2005,TG,3.5 L,Бензин,264,
Hyundai,Grandeur IV,2005–2011,TG,3.8 L,Бензин,290,
Hyundai,Grandeur V,2011–2016,IG,3.3 L,Бензин,290,
Hyundai,Grandeur VI,2016–2022,IG,3.5 L,Бензин,300,
Hyundai,Grandeur VII,2022–н.в.,,3.5 L,Бензин,300,
Hyundai,Genesis Coupe,2008–2016,BK2,3.8 L,Бензин,348,
Hyundai,Veloster,2011–2021,JS,2.0 L,Бензин,147,
Hyundai,Veloster N,2018–2021,JS,2.0 L,Бензин,275,
Hyundai,N Vision 74,2022–н.в.,,0.0 L,Электро,680,62.4
Kia,Rio I,2000–2005,DC,1.4 L,Бензин,85,
Kia,Rio II,2005–2011,JB,1.6 L,Бензин,110,
Kia,Rio III,2011–2017,UB,1.6 L,Бензин,123,
Kia,Rio IV,2017–2023,YB,1.4 L,Бензин,100,
Kia,Rio V,2023–н.в.,,1.4 L,Бензин,100,
Kia,Ceed I,2006–2012,ED,1.6 L,Бензин,126,
Kia,Ceed II,2012–2018,JD,1.6 L,Бензин,135,
Kia,Ceed III,2018–н.в.,CD,1.5 L,Бензин,160,
Kia,Ceed GT,2018–н.в.,CD,1.6 L,Бензин,204,
Kia,Cerato I,2004–2008,LD,2.0 L,Бензин,142,
Kia,Cerato II,2008–2013,TD,2.0 L,Бензин,156,
Kia,Cerato III,2013–2018,YD,2.0 L,Бензин,150,
Kia,Cerato IV,2018–н.в.,BD,2.0 L,Бензин,150,
Kia,Forte,2009–н.в.,,2.0 L,Бензин,147,
Kia,Sportage I,1993–2002,NB-7,2.0 L,Бензин,130,
Kia,Sportage II,2004–2010,JM,2.7 L,Бензин,173,
Kia,Sportage III,2010–2015,SL,2.4 L,Бензин,176,
Kia,Sportage IV,2015–2021,QL,2.4 L,Бензин,181,
Kia,Sportage V,2021–н.в.,NQ5,1.6 L,Бензин,187,
Kia,Sportage Hybrid,2022–н.в.,NQ5,1.6 L,Гибрид,230,1.5
Kia,Sorento I,2002–2008,JC,3.5 L,Бензин,242,
Kia,Sorento II,2009–2014,XM,3.5 L,Бензин,276,
Kia,Sorento III,2014–2020,UM,3.3 L,Бензин,290,
Kia,Sorento IV,2020–н.в.,MQ4,2.5 L,Бензин,191,
Kia,Sorento Hybrid,2021–н.в.,MQ4,1.6 L,Гибрид,230,1.5
Kia,Carnival I,1998–2006,KV-II,3.5 L,Бензин,242,
Kia,Carnival II,2006–2014,VQ,3.5 L,Бензин,276,
Kia,Carnival III,2014–2020,YP,3.3 L,Бензин,290,
Kia,Carnival IV,2020–н.в.,KA4,3.5 L,Бензин,290,
Kia,Seltos,2019–н.в.,,1.6 L,Бензин,147,
Kia,Soul I,2008–2013,AM,2.0 L,Бензин,147,
Kia,Soul II,2013–2019,PS,2.0 L,Бензин,164,
Kia,Soul III,2019–н.в.,SK3,2.0 L,Бензин,147,
Kia,Soul EV,2014–н.в.,SK3,0.0 L,Электро,201,64
Kia,Niro,2016–2022,DE,1.6 L,Гибрид,141,1.6
Kia,Niro EV,2018–н.в.,DE,0.0 L,Электро,201,64
Kia,Niro II,2022–н.в.,SG2,1.6 L,Гибрид,141,1.6
Kia,Stinger,2017–2023,YG,3.3 L,Бензин,365,
Kia,Stinger GT,2017–2023,YG,3.3 L,Бензин,376,
Kia,EV6,2021–н.в.,,0.0 L,Электро,320,77.4
Kia,EV9,2023–н.в.,,0.0 L,Электро,300,100
Kia,Telluride,2019–н.в.,,3.8 L,Бензин,291,
Kia,K5,2020–н.в.,,2.5 L,Бензин,191,
Kia,K8,2021–н.в.,,3.5 L,Бензин,290,
Kia,Mohave,2008–н.в.,,3.8 L,Бензин,272,
Kia,Borrego,2008–2011,JC,4.6 L,Бензин,337,
Kia,Picanto,2004–н.в.,,1.0 L,Бензин,69,
Kia,Morning,2004–н.в.,,1.0 L,Бензин,69,
Kia,Ray,2011–2018,,1.0 L,Бензин,69,
Kia,Pegas,2018–н.в.,,1.4 L,Бензин,95,
Kia,K9,2012–2023,KH/RJ,5.0 L,Бензин,425,
Kia,Quoris,2012–2019,KH,5.0 L,Бензин,425,
SsangYong,Korando I,1988–1996,,2.3 L,Дизель,75,
SsangYong,Korando II,1996–2006,,2.9 L,Дизель,120,
SsangYong,Korando III,2010–2019,C200,2.0 L,Дизель,175,
SsangYong,Korando IV,2019–н.в.,C300,1.5 L,Бензин,163,
SsangYong,Rexton I,2001–2006,Y200,3.2 L,Бензин,220,
SsangYong,Rexton II,2006–2017,Y400,2.7 L,Дизель,165,
SsangYong,Rexton III,2017–н.в.,Y400,2.2 L,Дизель,181,
SsangYong,Tivoli,2015–н.в.,,1.6 L,Бензин,115,
SsangYong,Tivoli EV,2020–н.в.,,0.0 L,Электро,140,45
SsangYong,Korando EV,2019–н.в.,C300,0.0 L,Электро,170,61.5
SsangYong,Torres,2022–н.в.,,1.5 L,Бензин,163,
Genesis,G70,2018–н.в.,,3.3 L,Бензин,365,
Genesis,G80,2016–н.в.,,3.5 L,Бензин,375,
Genesis,G90,2016–н.в.,,5.0 L,Бензин,420,
Genesis,Electrified G80,2021–н.в.,,0.0 L,Электро,350,87.2
Genesis,Electrified GV70,2023–н.в.,,0.0 L,Электро,429,77.4
Genesis,GV70,2021–н.в.,,3.5 L,Бензин,375,
Genesis,GV80,2020–н.в.,,3.5 L,Бензин,375,
Genesis,GV60,2022–н.в.,,0.0 L,Электро,429,77.4
Genesis,Essentia (концепт),2018–н.в.,,0.0 L,Электро,580,100
