Марка,Модель,Годы выпуска,Номер кузова,Объём двигателя (L),Вид топлива,Мощность (ps),Ёмкость батареи (kWh)
Buick,LeSabre,1959–2005,,5.7 L,Бензин,250,
Buick,Park Avenue,1991–2005,,3.8 L,Бензин,205,
Buick,Regal,1973–2019,,3.8 L,Бензин,240,
Buick,Enclave,2008–н.в.,,3.6 L,Бензин,310,
Buick,Encore,2013–2022,,1.4 L,Бензин,140,
Buick,Envision,2016–н.в.,,2.0 L,Бензин,230,
Buick,LaCrosse,2005–2019,,3.6 L,Бензин,310,
Buick,Verano,2012–2017,,2.4 L,Бензин,180,
Buick,Cascada,2016–2019,,1.6 L,Бензин,200,
Buick,Electra E4,2023–н.в.,,0.0 L,Электро,299,65
Buick,Electra E5,2023–н.в.,,0.0 L,Электро,241,65
Cadillac,Escalade I,1999–2006,GMT400,5.7 L,Бензин,255,
Cadillac,Escalade II,2007–2014,GMT900,6.2 L,Бензин,403,
Cadillac,Escalade III,2015–2020,GMT K2XX,6.2 L,Бензин,420,
Cadillac,Escalade IV,2021–н.в.,T1XX,6.2 L,Бензин,420,
Cadillac,CT6,2016–2020,,3.0 L,Бензин,404,
Cadillac,CT5,2020–н.в.,,3.0 L,Бензин,360,
Cadillac,CT4,2020–н.в.,,2.0 L,Бензин,237,
Cadillac,XT5,2017–н.в.,,3.6 L,Бензин,310,
Cadillac,XT6,2020–н.в.,,3.6 L,Бензин,310,
Cadillac,XT4,2019–н.в.,,2.0 L,Бензин,237,
Cadillac,Lyriq,2022–н.в.,,0.0 L,Электро,340,100
Cadillac,Celestiq,2024–н.в.,,0.0 L,Электро,600,111
Chevrolet,Bel Air,1955–1981,,5.7 L,Бензин,283,
Chevrolet,Impala,1958–2020,,5.3 L,Бензин,355,
Chevrolet,Camaro I,1967–1969,F-Body,5.0 L,Бензин,295,
Chevrolet,Camaro II,1970–1981,F-Body,5.7 L,Бензин,245,
Chevrolet,Camaro III,1982–1992,F-Body,5.7 L,Бензин,245,
Chevrolet,Camaro IV,1993–2002,F-Body,5.7 L,Бензин,305,
Chevrolet,Camaro V,2010–2015,Fifth Gen,6.2 L,Бензин,426,
Chevrolet,Camaro VI,2016–2023,Sixth Gen,6.2 L,Бензин,455,
Chevrolet,Camaro ZL1,2017–2023,Sixth Gen,6.2 L,Бензин,650,
Chevrolet,Corvette C1,1953–1962,C1,4.6 L,Бензин,240,
Chevrolet,Corvette C2,1963–1967,C2,5.4 L,Бензин,360,
Chevrolet,Corvette C3,1968–1982,C3,5.7 L,Бензин,250,
Chevrolet,Corvette C4,1984–1996,C4,5.7 L,Бензин,300,
Chevrolet,Corvette C5,1997–2004,C5,5.7 L,Бензин,350,
Chevrolet,Corvette C6,2005–2013,C6,6.2 L,Бензин,430,
Chevrolet,Corvette C7,2014–2019,C7,6.2 L,Бензин,460,
Chevrolet,Corvette C8,2020–н.в.,C8,6.2 L,Бензин,495,
Chevrolet,Corvette Z06,2023–н.в.,C8,5.5 L,Бензин,670,
Chevrolet,Corvette ZR1,2024–н.в.,C8,5.5 L,Бензин,1064,
Chevrolet,Suburban I,1935–1960,,5.3 L,Бензин,160,
Chevrolet,Suburban II,1960–1966,,5.7 L,Бензин,250,
Chevrolet,Suburban III,1967–1972,,6.6 L,Бензин,300,
Chevrolet,Suburban IV,1973–1991,,7.4 L,Бензин,255,
Chevrolet,Suburban V,1992–1999,GMT400,7.4 L,Бензин,290,
Chevrolet,Suburban VI,2000–2006,GMT800,8.1 L,Бензин,340,
Chevrolet,Suburban VII,2007–2013,GMT900,6.2 L,Бензин,403,
Chevrolet,Suburban VIII,2014–2020,GMT K2XX,6.2 L,Бензин,420,
Chevrolet,Suburban IX,2021–н.в.,T1XX,6.2 L,Бензин,420,
Chevrolet,Tahoe I,1995–1999,GMT400,5.7 L,Бензин,255,
Chevrolet,Tahoe II,2000–2006,GMT800,5.3 L,Бензин,285,
Chevrolet,Tahoe III,2007–2014,GMT900,6.2 L,Бензин,403,
Chevrolet,Tahoe IV,2015–2020,GMT K2XX,6.2 L,Бензин,420,
Chevrolet,Tahoe V,2021–н.в.,T1XX,6.2 L,Бензин,420,
Chevrolet,Silverado 1500 I,1999–2006,GMT800,5.3 L,Бензин,285,
Chevrolet,Silverado 1500 II,2007–2013,GMT900,6.2 L,Бензин,403,
Chevrolet,Silverado 1500 III,2014–2018,GMT K2XX,6.2 L,Бензин,420,
Chevrolet,Silverado 1500 IV,2019–н.в.,,6.2 L,Бензин,420,
Chevrolet,Colorado I,2004–2012,,3.5 L,Бензин,220,
Chevrolet,Colorado II,2012–2022,,3.6 L,Бензин,308,
Chevrolet,Colorado III,2023–н.в.,,2.7 L,Бензин,310,
Chevrolet,Malibu I,1964–1983,,5.0 L,Бензин,170,
Chevrolet,Malibu II,1997–2003,N-Body,3.1 L,Бензин,170,
Chevrolet,Malibu III,2004–2007,Epsilon,3.5 L,Бензин,201,
Chevrolet,Malibu IV,2008–2012,Epsilon II,3.6 L,Бензин,252,
Chevrolet,Malibu V,2013–2015,Epsilon II,2.5 L,Бензин,197,
Chevrolet,Malibu VI,2016–2023,E2XX,1.5 L,Бензин,163,
Chevrolet,Cruze I,2008–2016,J300,1.8 L,Бензин,138,
Chevrolet,Cruze II,2016–2022,J400,1.4 L,Бензин,153,
Chevrolet,Sonic,2011–2020,,1.8 L,Бензин,138,
Chevrolet,Spark,2013–2022,,1.4 L,Бензин,98,
Chevrolet,Trax,2013–2022,,1.4 L,Бензин,138,
Chevrolet,Trax II,2023–н.в.,,1.2 L,Бензин,137,
Chevrolet,Equinox I,2005–2009,GMT191,3.4 L,Бензин,185,
Chevrolet,Equinox II,2010–2017,GMT191,3.6 L,Бензин,301,
Chevrolet,Equinox III,2018–2024,GMT155,1.5 L,Бензин,170,
Chevrolet,Equinox IV,2024–н.в.,,1.5 L,Бензин,175,
Chevrolet,Blazer I,1983–1994,S-10,4.3 L,Бензин,200,
